problem,activation,topology,epochs,train_loss,test_loss,train_accuracy,test_accuracy
Easy,ReLU,2-8-1,100,0.402947,0.444231,0.948750,0.905000
Easy,GeLU,2-8-1,100,0.320452,0.356594,0.981250,0.945000
Easy,Sigmoid,2-8-1,100,0.689122,0.691056,0.532500,0.515000
Easy,TanH,2-8-1,100,0.600134,0.625279,0.782500,0.710000
Easy,Swish,2-8-1,100,0.368002,0.412433,0.955000,0.915000
Easy,Identity,2-8-1,100,0.690293,0.693855,0.520000,0.505000
Medium,ReLU,2-8-8-1,150,0.220454,0.260556,0.910000,0.890000
Medium,GeLU,2-8-8-1,150,0.257978,0.300679,0.888750,0.870000
Medium,Sigmoid,2-8-8-1,150,0.500717,0.511145,0.872500,0.840000
Medium,TanH,2-8-8-1,150,0.223239,0.260167,0.911250,0.895000
Medium,Swish,2-8-8-1,150,0.270046,0.315908,0.875000,0.860000
Medium,Identity,2-8-8-1,150,0.272577,0.323481,0.873750,0.865000
Hard,ReLU,6-16-16-1,250,0.672481,0.703285,0.582500,0.520000
Hard,GeLU,6-16-16-1,250,0.676409,0.703174,0.555000,0.445000
Hard,Sigmoid,6-16-16-1,250,0.688968,0.694833,0.543750,0.530000
Hard,TanH,6-16-16-1,250,0.679332,0.700242,0.541250,0.505000
Hard,Swish,6-16-16-1,250,0.676696,0.700892,0.536250,0.470000
Hard,Identity,6-16-16-1,250,0.685060,0.696788,0.515000,0.500000
